"title","attribution","roomTitle","url.art","imagepath","Status","month","year","monthyear","datechange"
"Adrienne (Woman with Bangs)","Amedeo Modigliani","East Bldg, Ground Gal 103A (Pod 2)","/content/ngaweb/collection/art-object-page.46646.html","https://media.nga.gov/iiif/3fc64167-f25c-46df-bb13-e747d4cceec0/full/!384,384/0/default.jpg","Added","October","2023","October 2023","October 03"
"Nude on a Blue Cushion","Amedeo Modigliani","East Bldg, Ground Gal 103A (Pod 2)","/content/ngaweb/collection/art-object-page.46521.html","https://media.nga.gov/iiif/eca599f5-5fd1-4c0b-a205-2f42cfcf5fd9/full/!384,384/0/default.jpg","Removed","October","2023","October 2023","October 03"
