"title","attribution","roomTitle","url.art","imagepath","Status","month","year","monthyear","datechange"
"Adios Map","Jaune Quick-to-See Smith","East Building, Mezzanine - Terrace","/content/ngaweb/collection/art-object-page.224225.html","https://media.nga.gov/iiif/3e092add-302a-437c-903f-943373e43e9c/full/!384,384/0/default.jpg","Added","September","2023","September 2023","September 15"
"Pietà","South Netherlandish 15th Century","West Building, Main Floor - Gallery 39","/content/ngaweb/collection/art-object-page.71383.html","https://media.nga.gov/iiif/8aa5aa20-1bde-4fd1-bb6d-a2b3ee497c01/full/!384,384/0/default.jpg","Added","September","2023","September 2023","September 15"
"Creek Square","Joan Snyder","East Building, Mezzanine - Elevator Lobby","/content/ngaweb/collection/art-object-page.195773.html","https://media.nga.gov/iiif/5274b4fd-bcd4-4113-806f-28e2b0424c85/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"Farmer","Benny Andrews","East Building, Mezzanine - Gallery 214B","/content/ngaweb/collection/art-object-page.225615.html","https://media.nga.gov/iiif/fc7ddec0-daba-4514-afac-0080823fab75/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"Helen's Room","Jonas Wood","East Building, Mezzanine - Gallery 214B","/content/ngaweb/collection/art-object-page.219376.html","https://media.nga.gov/iiif/a74275f6-f9b0-4aaf-ace3-3965227c4a32/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"A Sunburst Restrained","María Berrío","East Building, Mezzanine - Gallery 214B","/content/ngaweb/collection/art-object-page.221464.html","https://media.nga.gov/iiif/0c45f816-d3ac-4f12-8402-84b67e941820/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"Dialogue","Lee Ufan","East Building, Mezzanine - Gallery 214C","/content/ngaweb/collection/art-object-page.224929.html","https://media.nga.gov/iiif/35aa53e1-465a-409c-8bbb-f39758331f98/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"Minion","Martin Puryear","East Building, Mezzanine - Gallery 214C","/content/ngaweb/collection/art-object-page.222805.html","https://media.nga.gov/iiif/47a099be-4478-40f4-81f0-d3ccde5d1646/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"Community","Sharon Louden","East Building, Mezzanine - Gallery 214C","/content/ngaweb/collection/art-object-page.223623.html","https://media.nga.gov/iiif/6c679f79-3ba0-4c2c-a5ae-2cadd0e58385/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"Paradise for a Tourist Brochure","Freddy Rodríguez","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.224850.html","https://media.nga.gov/iiif/73216769-579e-47de-9e0d-8bb18682a389/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"Correnteza, from Raizes series","Sonia Gomes","East Building, Mezzanine - Gallery 214D","/content/ngaweb/collection/art-object-page.224923.html","https://media.nga.gov/iiif/4f64c00e-ad0d-4f61-8051-626609bbaeff/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"Romantico americano","Beatriz Milhazes","East Building, Mezzanine - Terrace","/content/ngaweb/collection/art-object-page.226385.html","https://media.nga.gov/iiif/7d288694-f5e5-4dfa-bd85-5da1ae62e4bb/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
"Portrait of a Man","Tyrolean 15th Century","West Building, Main Floor - Gallery 39","/content/ngaweb/collection/art-object-page.41686.html","https://media.nga.gov/iiif/b360118c-1c23-4a7b-b476-21549b3f0ab6/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 15"
