"title","attribution","roomTitle","url.art","imagepath","Status","month","year","monthyear","datechange"
"Adrienne (Woman with Bangs)","Amedeo Modigliani","East Bldg, Ground Gal 103A (Pod 2)","/content/ngaweb/collection/art-object-page.46646.html","https://media.nga.gov/iiif/1f69931e-7499-4c9f-97f7-18835b0a9024/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 20"
"Sentinel","Simone Leigh","East Building Atrium","/content/ngaweb/collection/art-object-page.227564.html","https://media.nga.gov/iiif/145bb4fc-c58f-4e19-9e55-1058ac8d03d1/full/!384,384/0/default.jpg","Removed","September","2023","September 2023","September 20"
